species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low
H2O,0_0_0|21_1_21,0_0_0|20_0_20,25.60833,30.02,6386.36768,5824.52832,43,41.0
H2O,0_0_0|21_0_21,0_0_0|20_1_20,25.60833,30.01,6386.36768,5824.52881,129,123.0
H2O,0_1_0|7_7_0,0_1_0|6_6_1,26.59936,24.78,4474.46875,3933.56201,45,39.0
H2O,0_1_0|7_7_1,0_1_0|6_6_0,26.59938,24.78,4474.46875,3933.5625,15,13.0
H2O,0_0_0|8_7_1,0_0_0|7_6_2,26.7022,21.49,2288.64917,1749.82568,17,15.0
H2O,0_0_0|8_7_2,0_0_0|7_6_1,26.70259,21.48,2288.64771,1749.83228,51,45.0
H2O,0_0_0|19_2_18,0_0_0|18_1_17,26.75521,23.34,5785.63574,5247.87988,39,37.0
H2O,0_0_0|19_1_18,0_0_0|18_2_17,26.75531,23.34,5785.63574,5247.88184,117,111.0
H2O,0_0_0|20_1_20,0_0_0|19_0_19,26.7998,26.06,5824.52832,5287.66699,123,117.0
H2O,0_0_0|20_0_20,0_0_0|19_1_19,26.79981,26.06,5824.52881,5287.66748,41,39.0
